outcome;exposure;model;sex;N0;personyears0;cases0;N1;personyears1;cases1;estimate;se;HR;CI_left;CI_right;pval
D00;D42;sex-interaction kessler-adjusted;men;1772282;23389633.1671083;34844;2335;19549.8663373008;67;0.24248923;0.12263069;1.27441752361278;1.00213978026996;1.62067214221733;0.0479970753932037
D00;D42;sex-interaction kessler-adjusted;women;1856043;24773678.5767722;49675;3704;31402.420151209;100;0.1022676;0.10055943;1.10767984719824;0.909531851173206;1.34899579636102;0.309159770042596
D00;D42;sex-interaction time-adjusted;men;1772282;23389633.1671083;34844;2335;19549.8663373008;67;1.5030653;0.122314;4.49544786849416;3.53719579595373;5.71329739831372;1.04323224013676e-34
D00;D42;sex-interaction time-adjusted;women;1856043;24773678.5767722;49675;3704;31402.420151209;100;1.2662944;0.10013419;3.54768188480289;2.91548152249081;4.31697016724902;1.17755585601333e-36
D00;D42;sex-interaction time-comorbidity-adjusted;men;1772282;23389633.1671083;34844;2335;19549.8663373008;67;0.25608822;0.12267263;1.29186669139222;1.01577745347844;1.64299723587446;0.0368362594340677
D00;D42;sex-interaction time-comorbidity-adjusted;women;1856043;24773678.5767722;49675;3704;31402.420151209;100;0.06635044;0.100599;1.06860113213792;0.877375708086487;1.30150443998146;0.509540291563214
D00;D42;sex-interaction time-number_como-adjusted;men;1772282;23389633.1671083;34844;2335;19549.8663373008;67;0.2628272;0.12255196;1.30060195551481;1.02288776791209;1.65371558811555;0.0319833623318368
D00;D42;sex-interaction time-number_como-adjusted;women;1856043;24773678.5767722;49675;3704;31402.420151209;100;0.04741808;0.10044013;1.04856029954307;0.861189283370877;1.2766980767274;0.636853318811501
D00;D51;sex-interaction crude;men;1773199;23406123.8368142;34904;338;3059.1966314844;7;1.8449747;0.37806997;6.32793969150263;3.01611981303452;13.2762699168132;1.060954498759e-06
D00;D51;sex-interaction crude;women;1853112;24748190.2770267;49703;6263;56890.719896699;72;1.3113943;0.1182684;3.71134483442723;2.94347982533381;4.67952263897975;1.42995279026212e-28
D00;D51;sex-interaction kessler-adjusted;men;1773199;23406123.8368142;34904;338;3059.1966314844;7;0.44995517;0.37873789;1.56824187963081;0.746501648290392;3.29454408930022;0.234818267660944
D00;D51;sex-interaction kessler-adjusted;women;1853112;24748190.2770267;49703;6263;56890.719896699;72;0.2568098;0.11884139;1.29279921296339;1.02417248593406;1.63188313296121;0.0306995281097173
D00;D51;sex-interaction time-adjusted;men;1773199;23406123.8368142;34904;338;3059.1966314844;7;1.8496901;0.37808096;6.35784891989244;3.03031033527565;13.3393079968162;9.96581845949432e-07
D00;D51;sex-interaction time-adjusted;women;1853112;24748190.2770267;49703;6263;56890.719896699;72;1.3196237;0.11837735;3.74201299280075;2.96716917160928;4.71919881490787;7.35613356036099e-29
D00;D51;sex-interaction time-comorbidity-adjusted;men;1773199;23406123.8368142;34904;338;3059.1966314844;7;0.202482;0.37879296;1.22443804503874;0.582784057994327;2.57256269380124;0.592964310385769
D00;D51;sex-interaction time-comorbidity-adjusted;women;1853112;24748190.2770267;49703;6263;56890.719896699;72;0.19296451;0.11891008;1.21283974907261;0.960698202885199;1.53115749827865;0.104637143298807
